1389	12	3	5.95
1075	171	3	21.05
1668	9	11	109.43
780	118	3	12.05
471	246	8	69.48
124	470	3	9.11
869	846	3	36.02
101	231	59	219.95
104	703	11	49.37
129	3657	5	54.11
567	103	7	18
4448	115	3	25.65
120	150	10	12.83
193	6019	3	39.69
136	293	24	159.89
717	103	3	4.63
1925	14	4	10.99
941	14	6	11.63
2198	155	3	25.66
182	108	19	44.81
127	221	15	58.44
1585	209	3	27.19
246	153	3	7.28
585	139	3	13.73
197	278	6	32.27
108	293	13	45.79
225	700	5	42.42
1007	370	11	147.01
367	112	3	5.65
3589	672	4	64.66
128	231	7	18.47
171	142	4	4.67
2678	140	3	25.35
802	12	5	8.58
6021	12	3	19.65
103	611	6	14.52
3518	12	3	13.08
667	102	3	3.98
2906	968	3	46.91
111	222	19	68.45
137	149	10	21.05
250	156	3	7.51
1365	9	3	15.43
1999	154	9	108.5
111	180	57	268.01
117	322	7	21.92
1211	153	4	30.18
450	139	11	72.16
1435	157	4	31.67
5729	303	3	45.03
109	675	12	75.7
103	5226	3	23.15
467	103	9	22.4
1225	115	4	22.34
4933	109	3	29.65
105	234	9	9.13
105	284	26	89.74
492	181	3	15.88
421	139	3	10.96
1631	4434	4	79.02
1495	12	5	16.05
4524	104	3	20.03
124	143	22	53.64
1802	9	4	26.39
12	634	5	6.13
280	156	3	8.44
119	636	3	10.65
140	296	3	7.71
1488	142	8	76.23
110	905	3	12.13
121	102	182	486.46
230	128	10	33.06
170	2199	3	26.95
104	535	3	3.98
191	259	6	29.45
104	385	8	17.48
942	261	6	61.11
170	1069	6	51.44
2734	239	4	49.2
190	264	3	10.79
119	282	4	7.17
107	651	5	19.39
190	214	4	13.93
190	148	3	4.21
239	103	12	13.57
1605	141	3	21.49
279	562	4	32.53
1353	168	3	22.41
183	122	5	4.97
112	106	48	39.43
256	101	9	5.4
101	1709	5	21.86
147	282	6	23.85
103	111	71	46.15
390	3673	3	41.04
765	109	4	16.62
989	106	3	9.42
2480	14	3	8.73
103	242	9	6.68
12	1469	3	6.38
106	1262	8	47.87
126	270	35	222.48
181	211	3	7.43
153	167	18	72.57
121	1518	6	45.48
3158	2739	5	110.23
158	2548	4	39.05
238	442	3	19.08
361	104	6	9.01
8	192	32	125.48
209	369	7	48.64
543	189	20	203.96
322	118	3	5.12
909	102	3	5.97
285	122	4	8.25
2361	908	5	80.97
112	490	3	7.76
111	1060	7	44.66
357	14	25	54.68
12	1350	9	39.24
129	378	17	105.47
138	249	3	6.19
103	361	7	9.8
101	691	4	6.7
125	174	7	9.69
125	101	44	14.93
105	4385	3	20.08
442	115	3	7.25
927	112	3	12.66
224	102	10	6.85
264	360	4	26.36
12	2821	3	11.57
159	133	18	59.31
798	8	3	11.12
12	439	7	6.89
106	314	6	9.2
407	215	3	17.08
152	125	6	4.28
125	145	11	15.57
208	309	41	422.69
1160	334	13	182.02
101	632	6	13.16
109	396	35	254.38
1684	109	4	25.21
800	195	5	40.92
230	438	3	18.66
101	2641	6	38.36
2642	117	5	42.52
1779	14	5	15.25
131	1867	9	93.4
1408	14	3	4.47
139	3686	3	28.1
451	141	3	11.74
185	1743	3	26.16
362	117	7	24.83
509	126	6	28.5
746	115	3	10.98
126	433	7	32.03
187	271	3	10.93
165	2181	5	51.38
478	674	17	237.93
12	1249	3	5.21
194	201	3	8.28
376	149	18	134.85
320	102	32	122.75
12	1454	3	6.38
771	430	6	68.07
103	158	23	14.33
1017	118	3	14.12
1155	2479	5	86.67
1381	5147	3	57.9
122	543	3	10.34
101	1862	3	10.17
217	102	76	328.5
198	129	4	4.76
558	14	13	29.15
1580	431	4	49.5
1997	1385	4	65.18
126	181	5	4.98
181	163	20	99
105	1912	7	45.17
1660	14	3	5.81
165	2438	3	27.61
181	106	26	54
181	237	5	19.95
153	264	3	7.72
3543	266	3	36.86
1281	689	3	37.33
142	1591	3	21.6
104	537	9	30.53
480	480	3	26.36
116	1167	4	21.83
2372	122	3	21.16
133	158	5	5.16
239	147	4	10.99
1153	12	4	8.66
104	2775	3	16.28
482	509	3	27.09
2242	176	3	27.54
1594	121	11	109.33
164	484	7	46.09
128	4168	3	27.79
651	12	5	6.13
2	8	15	11
313	189	6	33.31
109	768	13	90.1
223	104	9	7.64
104	875	3	7.12
105	2997	4	25.16
157	1673	3	23.42
245	2	3	4.77
170	513	3	15.37
2940	155	6	72.48
993	14	7	16.43
12	693	4	4.25
426	210	17	159.28
193	184	4	11.35
534	106	7	23.5
122	989	3	14.65
113	566	9	47.38
755	101	7	20.47
167	180	5	11.52
253	301	6	39.67
8	629	6	27.22
117	160	15	28.59
961	189	7	64.34
484	586	5	52.8
360	299	9	78.8
17	116	6	8.12
57	1579	3	29.13
102	240	19	34.69
310	254	3	16.04
189	1595	4	37.17
218	150	8	30.41
124	1318	3	16.99
101	2	31	5.66
274	135	5	15.83
1707	103	3	10.6
1994	14	3	7.04
871	14	11	33.78
938	757	16	267.15
297	115	20	96.49
145	108	10	5.69
164	114	12	17.66
105	533	9	30.25
303	215	5	28.69
216	4339	3	36.98
614	162	7	50.21
567	147	3	14.45
1235	104	4	15.07
104	620	3	4.83
111	317	3	4.19
3916	1371	3	53.4
128	407	6	24.91
199	527	4	26.85
1598	324	3	32.2
1551	107	3	14.85
116	889	5	25.96
360	549	12	138.98
161	531	3	15.18
141	428	19	145.59
2922	590	6	102.76
13	774	3	25.88
109	1979	5	37.11
1596	125	5	37.29
104	1635	5	24.76
127	468	4	14.77
408	2086	9	144.99
598	107	4	13.1
1178	183	5	44.22
3494	107	3	22.03
154	1310	3	21.18
1808	12	3	7.98
168	1792	5	47.18
101	576	4	5.22
245	207	3	11.28
335	14	11	6.48
3822	5010	3	67.95
118	508	3	8.91
145	536	3	13.7
536	101	4	4.62
1651	106	4	19.84
523	291	3	22.31
140	400	4	16.6
109	2319	4	28.5
103	1863	5	24.94
118	153	13	19.89
12	919	20	113.5
620	928	4	48.09
227	227	31	276.35
170	2935	3	29.21
105	581	5	11.95
136	217	3	4.92
447	107	15	78.15
110	127	122	512.25
120	222	10	29.3
104	669	3	5.26
120	180	6	6.58
992	149	5	36.93
108	217	9	17.3
416	107	6	18.61
170	3697	4	45.03
246	116	8	19.56
388	16	4	24.55
880	231	4	34.8
104	1944	4	19.4
873	758	7	96.16
429	309	4	30.78
109	1663	3	16.87
277	407	3	19.67
111	400	7	25.47
346	151	3	10.24
171	14	36	13.11
1151	14	6	14.81
113	234	13	41.36
113	284	19	86.2
169	1648	4	34.66
168	264	6	25.7
168	214	4	11.4
106	5825	3	26.19
262	766	4	34.62
272	139	5	16.19
564	212	36	464.69
322	326	3	18.95
1630	117	6	44.49
187	146	19	88.74
116	129	73	246.82
1559	14	3	5.31
818	177	5	37.87
862	101	4	8.47
439	849	4	43.07
112	385	4	10.04
131	2258	8	88.79
117	3612	3	23.81
104	3053	3	16.28
2690	154	3	26.59
139	102	39	35.4
195	118	8	14.42
255	425	4	27.76
125	140	8	6.67
1568	160	3	23.43
203	3513	3	33.6
1980	9	4	27.48
104	106	78	26.27
282	1173	6	66.27
104	237	8	6.83
109	391	20	116.17
224	137	3	5.32
115	111	64	146.55
150	129	11	18.25
135	174	6	10.69
1026	168	16	179.88
156	103	35	40.67
156	168	19	80.8
407	2889	3	39.72
115	361	4	9.51
2020	288	7	94.17
200	1389	5	48.97
254	905	3	25.3
139	502	19	155.76
1960	173	5	49.07
344	118	3	5.66
152	425	5	25.48
476	104	8	21.88
152	558	15	126.99
1003	9	8	52.81
101	970	4	9.79
172	219	11	54.91
103	128	70	84.98
241	102	12	13.04
343	2814	5	71.84
217	123	11	34.38
160	1942	4	35.76
2207	12	4	15.42
1339	12	4	9.66
204	433	3	16.61
445	117	8	35.49
823	115	5	24.64
767	14	5	5.63
109	1618	4	24.37
4306	141	3	30.44
412	712	4	40.42
112	236	5	7.35
212	413	4	24.47
147	210	3	5.14
438	141	3	11.54
