9	9304	9
163	3611	11
12	2624	1
2655	1455	17
1046	3935	9
206	9633	7
980	1913	34
102	5226	7
159	6211	35
504	2993	14
101	8130	7
771	2910	0
148	1487	11
213	2582	29
109	5525	14
2778	5707	1
2151	8694	4
12902	4305	11
19497	3118	17
105	5541	7
22508	7381	3
3053	1034	17
12	3626	9
197	5176	15
107	4985	15
803	5216	11
7199	7991	15
109	5681	4
103	2413	14
5506	5237	6
9335	4104	0
278	4529	22
2588	632	10
105	2469	2
345	4844	18
105	4872	15
182	4376	9
16691	7110	10
101	962	2
27377	7697	6
19565	8860	4
186	8611	2
168	9902	11
131	2218	17
141	7868	20
223	7104	8
14	5163	14
1281	51	2
4552	9019	5
101	9766	5
1198	8992	16
1663	4219	13
101	4111	28
3478	1423	27
104	1326	3
1536	8022	1
243	1769	9
104	736	1
607	7539	1
448	3449	1
177	3417	5
440	4521	17
103	3173	24
129	268	9
14	41	6
22304	2796	14
105	2468	22
285	2256	3
103	2638	6
107	8637	28
759	8655	4
15067	5118	0
3084	2458	38
12	3	26
387	6353	4
13	765	13
2447	8201	6
411	4535	16
103	1285	11
2	3144	8
106	4158	1
104	6569	4
492	778	15
441	2693	6
2112	6282	28
102	6723	20
25705	1878	2
532	5403	6
102	1026	7
423	928	8
103	2673	43
7270	6805	4
270	3720	14
110	4506	20
212	5300	10
130	2689	6
2	6440	30
14	5869	26
5250	4082	28
17627	6057	7
14	1889	18
137	4563	2
2216	1479	9
14	2667	9
188	6890	1
3085	8067	7
15214	7922	2
8	2623	6
13259	3084	5
13	7513	2
2414	4292	1
1849	6809	22
14	8077	9
3629	7094	9
150	7981	8
103	3911	4
236	6206	10
9	3165	13
130	6566	20
816	9510	6
24646	3904	7
472	264	10
344	5419	24
110	9469	11
1408	4383	9
1125	2817	16
14	9098	5
309	7042	5
122	7294	23
101	11	6
19147	5301	5
651	4034	3
13421	3141	0
108	2325	6
412	1522	10
231	5401	2
1230	7576	32
165	4508	16
147	1793	3
4256	5483	11
108	400	9
11824	277	11
1009	6643	4
14	3407	7
2074	1268	9
227	3853	3
155	8825	7
546	2862	9
117	2601	27
2359	7744	17
132	9071	25
238	1198	4
825	7359	15
825	7025	13
138	6128	0
